Raw material name,Product material name,PI,Tier 1,PI-item-tier,PI-all-items,Minerals,Advanced Moon Materials,Salvage,Skills,,,,,,Wetware Mainframe PI material ratios,Organic Mortar Applicators,Ukomi Superconductors
GROUP – MINERALS,Light Missile Launcher I,Bacteria,GROUP – MINERALS,Raw Materials,Aqueous Liquids,Isogen,Crystalline Carbonide,Alloyed Tritanium Bar,Advanced Laboratory Operation,,,,Raw Materials,Aqueous Liquids,Need 1 per Mobile Tractor Unit,Need 2 per Mobile Tractor Unit,Need 2 per Mobile Tractor Unit
Isogen,Quantum Microprocessor,Biofuels,Isogen,Raw Materials,Autotrophs,Megacyte,Fermionic Condensates,Armor Plates,Amarr Encryption Methods,,,,Raw Materials,Autotrophs,,,
Megacyte,R.A.M.- Weapon Tech,Biomass,Megacyte,Raw Materials,Base Metals,Mexallon,Fernite Carbide,Artificial Neural Network,Amarr Starship Engineering,,,,Raw Materials,Base Metals,,,
Mexallon,Plasma Thruster,Chiral Structures,Mexallon,Raw Materials,Carbon Compounds,Morphite,Ferrogel,Broken Drone Transceiver,Astronautic Engineering,,,,Raw Materials,Carbon Compounds,,,
Morphite,Ion Thruster,Electrolytes,Morphite,Raw Materials,Complex Organisms,Nocxium,Fullerides,Burned Logic Circuit,Caldari Encryption Methods,,,,Raw Materials,Complex Organisms,,,
Nocxium,R.A.M.- Armor/Hull Tech,Industrial Fibers,Nocxium,Raw Materials,Felsic Magma,Pyerite,Hypersynaptic Fibers,Capacitor Console,Caldari Starship Engineering,,,,Raw Materials,Felsic Magma,,,
Pyerite,1MN Afterburner I,Oxidizing Compound,Pyerite,Raw Materials,Heavy Metals,Tritanium,Nanotransistors,Charred Micro Circuit,Core Subsystem Technology,,,,Raw Materials,Heavy Metals,,,
Tritanium,Antimatter Reactor Unit,Oxygen,Tritanium,Raw Materials,Ionic Solutions,Zydrine,Nonlinear Metamaterials,Conductive Polymer,Defensive Subsystem Technology,,,,Raw Materials,Ionic Solutions,,,
Zydrine,Small Shield Booster I,Plasmoids,Zydrine,Raw Materials,Microorganisms,,Phenolic Composites,Conductive Thermoplastic,Electromagnetic Physics,Eliana,Eindolf,1,Raw Materials,Microorganisms,,,
GROUP – PLANETARY MATERIALS,Pulse Shield Emitter,Precious Metals,GROUP – PLANETARY MATERIALS,Raw Materials,Noble Gas,,Photonic Metamaterials,Contaminated Lorentz Fluid,Electronic Engineering,Curie,x6,1,Raw Materials,Noble Gas,,,
